Customer ID,Recency,Frequency,Monetary,Last_Order_Date,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Churn Risk
CUST-0664,39,8,964.01,2024-11-23,4,4,4,444,12,Champions,Low Risk
CUST-0543,22,7,957.68,2024-12-10,4,4,4,444,12,Champions,Low Risk
CUST-0793,24,9,956.81,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0491,37,9,946.71,2024-11-25,4,4,4,444,12,Champions,Low Risk
CUST-0849,6,10,934.6,2024-12-26,4,4,4,444,12,Champions,Low Risk
CUST-0343,51,15,2610.66,2024-11-11,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0237,84,11,2589.36,2024-10-09,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0256,84,14,2467.83,2024-10-09,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0597,52,10,2300.12,2024-11-10,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0662,79,7,2090.98,2024-10-14,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0765,51,14,2019.42,2024-11-11,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0227,87,11,1915.28,2024-10-06,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0039,86,10,1895.62,2024-10-07,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0299,59,10,1893.61,2024-11-03,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0160,98,10,1875.88,2024-09-25,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0205,87,9,1789.91,2024-10-06,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0331,88,7,1718.55,2024-10-05,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0188,75,11,1700.05,2024-10-18,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0095,105,10,1686.64,2024-09-18,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0157,47,10,1658.42,2024-11-15,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0277,49,7,1621.53,2024-11-13,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0177,72,13,1572.89,2024-10-21,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0063,7,6,1545.38,2024-12-25,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0159,79,8,1487.54,2024-10-14,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0165,90,9,1485.93,2024-10-03,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0858,64,9,1466.52,2024-10-29,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0254,60,10,1416.5,2024-11-02,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0634,23,4,1405.73,2024-12-09,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0884,80,7,1405.28,2024-10-13,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0350,7,5,1388.15,2024-12-25,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0828,100,7,1378.57,2024-09-23,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0738,58,8,1366.87,2024-11-04,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0082,24,6,1360.3000000000002,2024-12-08,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0815,40,4,1350.81,2024-11-22,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0758,49,6,1344.09,2024-11-13,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0595,52,9,1337.02,2024-11-10,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0357,8,6,1335.31,2024-12-24,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0898,104,8,1335.31,2024-09-19,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0714,107,8,1332.59,2024-09-16,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0090,95,10,1332.37,2024-09-28,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0684,124,10,1329.3,2024-08-30,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0396,56,12,1314.98,2024-11-06,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0403,103,9,1300.29,2024-09-20,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0719,25,5,1281.03,2024-12-07,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0083,47,8,1277.76,2024-11-15,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0414,43,6,1270.18,2024-11-19,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0304,6,6,1265.95,2024-12-26,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0431,58,7,1258.69,2024-11-04,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0752,5,5,1258.6,2024-12-27,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0475,8,6,1241.55,2024-12-24,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0844,54,6,1240.94,2024-11-08,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0653,84,8,1231.69,2024-10-09,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0553,48,10,1227.41,2024-11-14,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0721,61,9,1222.2,2024-11-01,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0373,63,10,1212.55,2024-10-30,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0121,119,12,1199.13,2024-09-04,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0832,68,9,1194.29,2024-10-25,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0706,72,9,1182.95,2024-10-21,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0614,28,4,1177.23,2024-12-04,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0845,101,12,1173.84,2024-09-22,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0899,10,4,1165.61,2024-12-22,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0691,103,9,1165.42,2024-09-20,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0514,5,5,1161.26,2024-12-27,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0472,69,7,1148.76,2024-10-24,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0023,118,9,1135.55,2024-09-05,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0779,18,5,1102.27,2024-12-14,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0827,12,5,1101.93,2024-12-20,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0088,90,10,1060.0700000000002,2024-10-03,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0318,34,6,1044.3,2024-11-28,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0621,105,8,1016.01,2024-09-18,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0334,86,7,1011.49,2024-10-07,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0264,61,10,1010.54,2024-11-01,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0674,85,8,1007.54,2024-10-08,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0081,34,6,1007.13,2024-11-28,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0397,88,7,1004.25,2024-10-05,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0531,76,7,996.56,2024-10-17,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0710,14,5,968.75,2024-12-18,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0468,5,6,966.09,2024-12-27,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0735,103,7,946.54,2024-09-20,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0278,6,5,937.16,2024-12-26,4,3,4,434,11,Loyal Customers,Low Risk
CUST-0796,86,10,932.23,2024-10-07,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0591,58,7,925.59,2024-11-04,3,4,4,344,11,Loyal Customers,Low Risk
CUST-0645,22,6,917.5,2024-12-10,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0540,25,7,917.38,2024-12-07,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0876,35,6,913.71,2024-11-27,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0506,37,7,900.78,2024-11-25,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0230,46,7,899.48,2024-11-16,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0162,8,10,889.72,2024-12-24,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0770,46,7,886.67,2024-11-16,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0346,42,7,872.03,2024-11-20,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0330,24,7,871.4399999999999,2024-12-08,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0440,17,7,839.4300000000001,2024-12-15,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0757,26,6,837.1700000000001,2024-12-06,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0867,3,9,832.68,2024-12-29,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0378,8,8,808.54,2024-12-24,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0404,6,7,788.87,2024-12-26,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0598,3,7,766.14,2024-12-29,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0146,2,7,753.46,2024-12-30,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0501,28,8,726.22,2024-12-04,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0599,16,7,720.4499999999999,2024-12-16,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0686,10,7,714.96,2024-12-22,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0556,36,7,684.01,2024-11-26,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0554,10,6,679.8100000000001,2024-12-22,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0637,8,6,628.27,2024-12-24,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0105,41,7,543.77,2024-11-21,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0586,13,6,543.73,2024-12-19,4,4,3,443,11,Loyal Customers,Low Risk
CUST-0059,223,9,1885.02,2024-05-23,2,4,4,244,10,At Risk,Medium Risk
CUST-0290,253,9,1699.46,2024-04-23,2,4,4,244,10,At Risk,Medium Risk
CUST-0382,159,12,1617.7,2024-07-26,2,4,4,244,10,At Risk,Medium Risk
CUST-0005,58,6,1586.8,2024-11-04,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0041,53,5,1573.75,2024-11-09,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0768,109,4,1475.24,2024-09-14,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0657,267,6,1412.19,2024-04-09,2,4,4,244,10,At Risk,Medium Risk
CUST-0585,144,6,1379.6799999999998,2024-08-10,2,4,4,244,10,At Risk,Medium Risk
CUST-0698,130,11,1361.42,2024-08-24,2,4,4,244,10,At Risk,Medium Risk
CUST-0616,278,8,1354.11,2024-03-29,2,4,4,244,10,At Risk,Medium Risk
CUST-0577,151,9,1313.04,2024-08-03,2,4,4,244,10,At Risk,Medium Risk
CUST-0655,287,7,1287.44,2024-03-20,2,4,4,244,10,At Risk,Medium Risk
CUST-0425,148,10,1265.48,2024-08-06,2,4,4,244,10,At Risk,Medium Risk
CUST-0433,94,5,1209.86,2024-09-29,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0729,221,6,1173.21,2024-05-25,2,4,4,244,10,At Risk,Medium Risk
CUST-0329,86,4,1105.9199999999998,2024-10-07,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0045,27,4,1091.13,2024-12-05,4,2,4,424,10,New Customers,Low Risk
CUST-0689,72,4,1090.35,2024-10-21,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0690,160,6,1082.25,2024-07-25,2,4,4,244,10,At Risk,Medium Risk
CUST-0074,255,8,1082.05,2024-04-21,2,4,4,244,10,At Risk,Medium Risk
CUST-0128,183,9,1073.79,2024-07-02,2,4,4,244,10,At Risk,Medium Risk
CUST-0687,268,7,1051.41,2024-04-08,2,4,4,244,10,At Risk,Medium Risk
CUST-0107,70,5,1051.18,2024-10-23,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0348,105,5,1012.07,2024-09-18,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0049,33,4,1009.33,2024-11-29,4,2,4,424,10,New Customers,Low Risk
CUST-0797,86,4,972.78,2024-10-07,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0355,126,4,958.04,2024-08-28,3,3,4,334,10,Loyal Customers,Medium Risk
CUST-0394,222,7,947.9,2024-05-24,2,4,4,244,10,At Risk,Medium Risk
CUST-0511,61,5,932.87,2024-11-01,3,3,4,334,10,Loyal Customers,Low Risk
CUST-0774,91,9,884.4,2024-10-02,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0550,99,6,883.97,2024-09-24,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0013,84,7,880.26,2024-10-09,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0130,94,9,879.18,2024-09-29,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0002,25,5,873.91,2024-12-07,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0029,8,6,865.7,2024-12-24,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0785,88,6,865.0699999999999,2024-10-05,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0580,108,8,851.55,2024-09-15,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0620,100,9,848.71,2024-09-23,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0627,68,8,835.2,2024-10-25,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0243,64,7,813.54,2024-10-29,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0803,109,6,801.39,2024-09-14,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0743,97,6,796.5699999999999,2024-09-26,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0317,34,4,787.72,2024-11-28,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0009,18,5,777.56,2024-12-14,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0251,40,6,775.78,2024-11-22,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0405,42,4,757.81,2024-11-20,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0044,19,5,733.66,2024-12-13,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0542,30,4,731.51,2024-12-02,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0489,34,4,729.95,2024-11-28,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0892,38,5,717.66,2024-11-24,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0265,72,7,712.29,2024-10-21,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0395,25,4,695.0,2024-12-07,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0685,86,8,693.7,2024-10-07,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0806,3,4,675.24,2024-12-29,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0588,31,4,655.89,2024-12-01,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0019,3,5,651.5899999999999,2024-12-29,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0643,22,4,645.34,2024-12-10,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0285,34,6,641.38,2024-11-28,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0798,22,5,635.62,2024-12-10,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0705,34,5,612.0500000000001,2024-11-28,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0117,80,7,596.4399999999999,2024-10-13,3,4,3,343,10,Loyal Customers,Low Risk
CUST-0519,32,4,584.79,2024-11-30,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0144,26,5,564.95,2024-12-06,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0387,10,6,547.48,2024-12-22,4,3,3,433,10,Loyal Customers,Low Risk
CUST-0502,46,6,453.51,2024-11-16,4,4,2,442,10,Potential Loyalists,Low Risk
CUST-0124,294,9,1873.26,2024-03-13,1,4,4,144,9,At Risk,Medium Risk
CUST-0442,127,5,1604.78,2024-08-27,2,3,4,234,9,At Risk,Medium Risk
CUST-0303,121,3,1419.79,2024-09-02,3,2,4,324,9,Big Spenders,Low Risk
CUST-0038,169,5,1319.01,2024-07-16,2,3,4,234,9,At Risk,Medium Risk
CUST-0055,136,6,1304.15,2024-08-18,2,3,4,234,9,At Risk,Medium Risk
CUST-0158,167,5,1271.98,2024-07-18,2,3,4,234,9,At Risk,Medium Risk
CUST-0457,362,7,1238.75,2024-01-05,1,4,4,144,9,At Risk,Medium Risk
CUST-0062,313,7,1141.48,2024-02-23,1,4,4,144,9,At Risk,Medium Risk
CUST-0707,148,4,1113.26,2024-08-06,2,3,4,234,9,At Risk,Medium Risk
CUST-0233,118,3,1088.54,2024-09-05,3,2,4,324,9,Big Spenders,Low Risk
CUST-0661,227,5,1056.62,2024-05-19,2,3,4,234,9,At Risk,Medium Risk
CUST-0260,154,5,1027.24,2024-07-31,2,3,4,234,9,At Risk,Medium Risk
CUST-0048,125,3,1024.08,2024-08-29,3,2,4,324,9,Big Spenders,Low Risk
CUST-0499,324,7,1011.53,2024-02-12,1,4,4,144,9,At Risk,Medium Risk
CUST-0145,89,4,1005.54,2024-10-04,3,2,4,324,9,Big Spenders,Low Risk
CUST-0709,450,7,970.17,2023-10-09,1,4,4,144,9,At Risk,Medium Risk
CUST-0666,261,5,961.85,2024-04-15,2,3,4,234,9,At Risk,Medium Risk
CUST-0034,193,6,957.53,2024-06-22,2,3,4,234,9,At Risk,Medium Risk
CUST-0174,132,5,948.73,2024-08-22,2,3,4,234,9,At Risk,Medium Risk
CUST-0862,187,4,931.64,2024-06-28,2,3,4,234,9,At Risk,Medium Risk
CUST-0136,278,5,927.42,2024-03-29,2,3,4,234,9,At Risk,Medium Risk
CUST-0593,117,5,925.32,2024-09-06,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0452,127,8,924.49,2024-08-27,2,4,3,243,9,At Risk,Medium Risk
CUST-0187,65,6,906.87,2024-10-28,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0646,225,7,905.25,2024-05-21,2,4,3,243,9,At Risk,Medium Risk
CUST-0563,19,3,894.22,2024-12-13,4,2,3,423,9,New Customers,Low Risk
CUST-0449,89,5,886.38,2024-10-04,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0300,94,4,860.4300000000001,2024-09-29,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0807,67,5,858.89,2024-10-26,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0032,132,8,853.41,2024-08-22,2,4,3,243,9,At Risk,Medium Risk
CUST-0279,118,5,841.55,2024-09-05,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0728,58,4,838.01,2024-11-04,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0054,218,7,836.48,2024-05-28,2,4,3,243,9,At Risk,Medium Risk
CUST-0407,112,6,818.37,2024-09-11,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0520,49,5,814.7,2024-11-13,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0479,62,6,811.96,2024-10-31,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0720,144,6,801.27,2024-08-10,2,4,3,243,9,At Risk,Medium Risk
CUST-0612,254,7,792.25,2024-04-22,2,4,3,243,9,At Risk,Medium Risk
CUST-0242,72,5,784.1,2024-10-21,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0342,47,5,775.18,2024-11-15,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0537,204,7,774.73,2024-06-11,2,4,3,243,9,At Risk,Medium Risk
CUST-0544,96,5,766.53,2024-09-27,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0546,162,6,748.37,2024-07-23,2,4,3,243,9,At Risk,Medium Risk
CUST-0740,110,5,734.86,2024-09-13,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0495,264,7,734.78,2024-04-12,2,4,3,243,9,At Risk,Medium Risk
CUST-0398,55,4,731.57,2024-11-07,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0810,134,6,730.1700000000001,2024-08-20,2,4,3,243,9,At Risk,Medium Risk
CUST-0672,60,4,716.32,2024-11-02,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0084,57,5,711.79,2024-11-05,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0813,114,5,690.61,2024-09-09,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0274,42,4,690.25,2024-11-20,4,2,3,423,9,New Customers,Low Risk
CUST-0319,240,8,680.77,2024-05-06,2,4,3,243,9,At Risk,Medium Risk
CUST-0888,51,4,672.8399999999999,2024-11-11,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0861,106,5,656.92,2024-09-17,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0460,121,4,655.95,2024-09-02,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0632,36,3,654.19,2024-11-26,4,2,3,423,9,New Customers,Low Risk
CUST-0006,23,4,628.0799999999999,2024-12-09,4,2,3,423,9,New Customers,Low Risk
CUST-0739,152,6,626.59,2024-08-02,2,4,3,243,9,At Risk,Medium Risk
CUST-0552,187,6,613.52,2024-06-28,2,4,3,243,9,At Risk,Medium Risk
CUST-0244,62,6,609.77,2024-10-31,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0493,99,5,609.0,2024-09-24,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0143,100,5,601.26,2024-09-23,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0825,39,3,596.47,2024-11-23,4,2,3,423,9,New Customers,Low Risk
CUST-0001,47,5,582.0400000000001,2024-11-15,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0337,14,3,579.91,2024-12-18,4,2,3,423,9,New Customers,Low Risk
CUST-0380,38,3,577.41,2024-11-24,4,2,3,423,9,New Customers,Low Risk
CUST-0838,71,4,577.04,2024-10-22,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0138,77,6,575.28,2024-10-16,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0488,65,5,572.95,2024-10-28,3,3,3,333,9,Loyal Customers,Low Risk
CUST-0368,101,4,572.91,2024-09-22,3,3,3,333,9,Loyal Customers,Low Risk
